anio,mes,valor
2004,1,92.62750602691052
2004,2,90.18617931655959
2004,3,101.88329804238073
2004,4,102.5674302511826
2004,5,109.87750394051662
2004,6,105.66240620209851
2004,7,101.1069972900212
2004,8,98.35573694243757
2004,9,98.08637453469638
2004,10,97.8356659809799
2004,11,100.1319466812214
2004,12,101.67895479099535
2005,1,98.473359529179
2005,2,96.11886613343405
2005,3,110.65642586719524
2005,4,116.54519048214907
2005,5,126.66194335502726
2005,6,116.50222321492875
2005,7,107.58113926245956
2005,8,105.82089279310111
2005,9,104.89213472672316
2005,10,104.46066538498441
2005,11,108.00375438454834
2005,12,110.50332389924424
2006,1,106.53094787692405
2006,2,104.0901370432872
2006,3,118.58827645043104
2006,4,122.08710730131627
2006,5,133.37101567477424
2006,6,124.29274775102324
2006,7,117.04563185352679
2006,8,116.30360797574892
2006,9,114.80248033323909
2006,10,116.47750825324563
2006,11,118.14078229406633
2006,12,119.60317208093002
2007,1,114.70176482722367
2007,2,112.74324828605302
2007,3,129.28276498944658
2007,4,133.46308313008805
2007,5,147.60791074167543
2007,6,136.12098630494512
2007,7,127.38755189795539
2007,8,126.59522767863001
2007,9,123.5104632944452
2007,10,128.41538266104467
2007,11,129.73508945617357
2007,12,128.89792837498598
2008,1,126.22689251081431
2008,2,122.8249045091645
2008,3,132.33412728743554
2008,4,145.28049855207212
2008,5,154.15616391286648
2008,6,140.50348421669764
2008,7,136.63868805371584
2008,8,131.34092143552698
2008,9,132.18593848988462
2008,10,130.39517884255912
2008,11,125.52756329262156
2008,12,123.46600579407662
2009,1,116.75841920206521
2009,2,114.85886148592792
2009,3,126.16560261026108
2009,4,127.9905588745035
2009,5,133.03567047814315
2009,6,129.31265804805898
2009,7,127.3630583750141
2009,8,124.00328620894652
2009,9,126.18512812472765
2009,10,127.07986188269525
2009,11,127.09219178029132
2009,12,126.28656380555832
2010,1,121.50567852923163
2010,2,119.82280209203972
2010,3,136.89550162046118
2010,4,145.77413149301782
2010,5,158.1106315304388
2010,6,149.86155200805445
2010,7,139.50568662872732
2010,8,137.24598068715568
2010,9,136.69642672162283
2010,10,135.13884450692316
2010,11,139.59882328372223
2010,12,138.47764951271685
2011,1,133.0769197185519
2011,2,129.50988684262188
2011,3,147.00183909502377
2011,4,151.03582303961804
2011,5,166.17834208101743
2011,6,156.69365851225533
2011,7,146.37808828046835
2011,8,146.3985053847187
2011,9,147.170906821271
2011,10,145.0500024277993
2011,11,146.3616451241655
2011,12,143.36165785374328
2012,1,136.19408129361287
2012,2,132.3605259407412
2012,3,147.44101624495764
2012,4,145.52027831854522
2012,5,157.40418371936033
2012,6,149.0331017415051
2012,7,146.86279961903688
2012,8,145.69325698881013
2012,9,142.47153651731426
2012,10,147.23130295530083
2012,11,146.37343184468628
2012,12,143.58505809958143
2013,1,136.51707182504433
2013,2,132.795321964955
2013,3,149.40394566736484
2013,4,155.94159584157654
2013,5,167.9734791225302
2013,6,156.27186443024067
2013,7,150.73100129825897
2013,8,148.42144953050052
2013,9,147.0048441881334
2013,10,148.6939593959755
2013,11,145.69589762827002
2013,12,142.5768791271264
2014,1,137.96969739537636
2014,2,132.48630687243056
2014,3,144.53782808347017
2014,4,152.34143546147135
2014,5,164.20324390256107
2014,6,153.80352402990053
2014,7,145.42281373408593
2014,8,140.10530396605887
2014,9,141.71873319955728
2014,10,143.3493974176129
2014,11,140.8775968982631
2014,12,140.4359377491282
2015,1,133.99818907035032
2015,2,132.627886955774
2015,3,149.4090129833281
2015,4,157.4845995373143
2015,5,168.88610058983411
2015,6,162.93739000912225
2015,7,151.8447963430633
2015,8,146.46506720486232
2015,9,145.88232371860067
2015,10,147.04587615341626
2015,11,146.175581385648
2015,12,141.9421187346255
2016,1,134.74645041349706
2016,2,134.2323610386252
2016,3,150.0878942366954
2016,4,153.25067436662908
2016,5,163.51360808690507
2016,6,153.66209524099784
2016,7,143.73110098180126
2016,8,143.6741026486049
2016,9,142.00773744282046
2016,10,141.1368632980814
2016,11,144.93832064073018
2016,12,142.59014516031914
2017,1,136.6326594831619
2017,2,132.1585163398225
2017,3,152.6209585590571
2017,4,151.94634480448715
2017,5,168.3892094693676
2017,6,161.03568546945212
2017,7,150.30605012391976
2017,8,149.25534277384088
2017,9,146.38655965775365
2017,10,149.38594966601434
2017,11,151.9260428520267
2017,12,146.78338490922428
2018,1,142.740912606172
2018,2,138.8180403516572
2018,3,155.85731953576948
2018,4,151.52454398394318
2018,5,159.56669237791647
2018,6,151.125763233455
2018,7,145.96352443000438
2018,8,146.76596003413945
2018,9,137.74656971864778
2018,10,142.84327598456738
2018,11,140.59240732533542
2018,12,136.25161596905613
2019,1,134.53623985669554
2019,2,132.26788861273639
2019,3,144.96325495574894
2019,4,149.91622140352248
2019,5,164.13569907592014
2019,6,150.85897174113103
2019,7,146.77702964007008
2019,8,141.2769346808401
2019,9,134.87706647993627
2019,10,141.63933661701356
2019,11,137.77182966933123
2019,12,135.7651545276348
2020,1,133.89108608957224
2020,2,128.973638746598
2020,3,128.21106074025633
2020,4,113.29503444580098
2020,5,131.02956919734874
2020,6,132.52196526648797
2020,7,127.46368946979523
2020,8,125.18389375984691
2020,9,127.17507609335054
2020,10,131.3455018945212
2020,11,132.06865525299372
2020,12,133.85436559461522
2021,1,131.52153739734828
2021,2,126.23926696837641
2021,3,145.9569001036049
2021,4,147.28084401862543
2021,5,151.16932233869156
2021,6,148.97961710860253
2021,7,142.4259130609645
2021,8,140.97494072803278
2021,9,141.29608908942154
2021,10,139.51475869693118
2021,11,143.75187761773017
2021,12,147.2298783220394
2022,1,139.6379616247253
2022,2,137.84951353032116
2022,3,153.93085077656283
2022,4,157.66169211708325
2022,5,164.6893630903247
2022,6,161.45483436133514
2022,7,152.44538769114226
2022,8,151.46573902367166
2022,9,149.1743493423897
2022,10,146.55439500547848
2022,11,148.03049444213525
2022,12,146.18080798157396
2023,1,143.0301902134985
2023,2,137.2620270807414
2023,3,155.06056774198225
2023,4,150.02108525771425
2023,5,153.77240584484213
2023,6,152.55703141211333
2023,7,150.2229721841295
2023,8,151.94203751492228
2023,9,148.43224540780167
2023,10,147.5069674711539
2023,11,146.3594982027909
2023,12,139.33575608352382
2024,1,137.54599650877515
2024,2,133.63721083890695
2024,3,142.5686643704862
2024,4,147.26526426175394
2024,5,156.7766426555305
2024,6,147.36497076095483
2024,7,149.6968941848292
2024,8,147.32730673926656
2024,9,144.84468255585801
2024,10,147.99752842547727
2024,11,148.07058297356372
2024,12,148.5632677298404
2025,1,146.26867372149835
2025,2,141.16009340187153
2025,3,150.38089244694868
2025,4,159.1156368257795
2025,5,165.06861023955358
2025,6,156.74462959682248
