provincia,valor
   24 partidos del Gran Buenos Aires,9916715.0
   Interior de la provincia de Buenos Aires,5708369.0
Buenos Aires,15625084.0
Catamarca,367828.0
Chaco,1055259.0
Chubut,509108.0
Ciudad Autónoma de Buenos Aires,2890151.0
Corrientes,992595.0
Córdoba,3308876.0
Entre Ríos,1235994.0
Formosa,530162.0
Jujuy,673307.0
La Pampa,318951.0
La Rioja,333642.0
Mendoza,1738929.0
Misiones,1101593.0
Neuquén,551266.0
Río Negro,638645.0
Salta,1214441.0
San Juan,681055.0
San Luis,432310.0
Santa Cruz,273964.0
Santa Fe,3194537.0
Santiago del Estero,874006.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",127205.0
Total del país,40117096.0
Tucumán,1448188.0
